sample,file,oldfile_version,newfile_version,patch_size
beacon,adv.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2277
beacon,atoi.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,195
beacon,banner.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,86
beacon,bitarray.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,744
beacon,buf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,646
beacon,cbprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,149
beacon,cbprintf_complete.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,744
beacon,cbprintf_packaged.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,3072
beacon,configs.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2283
beacon,crc16_sw.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,340
beacon,crt0.S.obj,zephyr_v2.7.2,zephyr_v3.2.0,291
beacon,crypto.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,564
beacon,device.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,962
beacon,dev_handles.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,193
beacon,fatal.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,667
beacon,fprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,215
beacon,gmtime.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,324
beacon,h4.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,3144
beacon,hci_core.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,5097
beacon,heap-validate.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,824
beacon,heap.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1336
beacon,hex.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,139
beacon,hpet.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,650
beacon,id.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1396
beacon,init.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,943
beacon,intc_ioapic.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,503
beacon,intc_loapic.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,425
beacon,kheap.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,192
beacon,log_backend_uart.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,854
beacon,log_core.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,3556
beacon,log_mgmt.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,680
beacon,log_msg.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1130
beacon,log_output.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2035
beacon,mailbox.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,217
beacon,malloc.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,297
beacon,mem_slab.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,701
beacon,mmu.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1258
beacon,mpsc_pbuf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1298
beacon,msg_q.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,116
beacon,multiboot.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,137
beacon,mutex.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,346
beacon,offsets.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,323
beacon,onoff.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,204
beacon,poll.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,382
beacon,prep_c.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,338
beacon,printk.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,243
beacon,qsort.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,750
beacon,queue.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,243
beacon,rb.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,505
beacon,sched.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2339
beacon,sprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,237
beacon,stack.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,144
beacon,strncasecmp.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,85
beacon,strtol.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,375
beacon,strtoul.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,366
beacon,sys_clock_init.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,202
beacon,thread.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1212
beacon,timeout.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,642
beacon,timer.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,555
beacon,timeutil.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1452
beacon,uart_console.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,376
beacon,uart_ns16550.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1252
beacon,uuid.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,147
beacon,version.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,88
beacon,work.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1074
beacon,x86_mmu.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1650
central_hr,atoi.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,195
central_hr,att.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,9113
central_hr,banner.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,86
central_hr,bitarray.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,744
central_hr,buf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,646
central_hr,cbprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,149
central_hr,cbprintf_complete.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,744
central_hr,cbprintf_packaged.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,3072
central_hr,configs.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2601
central_hr,conn.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,6462
central_hr,crc16_sw.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,340
central_hr,crt0.S.obj,zephyr_v2.7.2,zephyr_v3.2.0,291
central_hr,crypto.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,564
central_hr,device.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,962
central_hr,dev_handles.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,193
central_hr,ecc.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,820
central_hr,fatal.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,667
central_hr,fprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,215
central_hr,gatt.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,11691
central_hr,gmtime.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,324
central_hr,h4.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,3156
central_hr,hci_core.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,9844
central_hr,heap-validate.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,824
central_hr,heap.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1336
central_hr,hex.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,139
central_hr,hpet.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,650
central_hr,id.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,3149
central_hr,init.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,943
